# Directed graph (each unordered pair of nodes is saved once): deezer_edges.txt
# A sample network dataset extracted from JSON format
# Nodes: 287 Edges: 1669
# FromNodeId	ToNodeId
0	240
0	2
0	90
0	4
0	92
0	166
0	87
0	269
0	177
0	225
0	20
0	29
0	33
0	270
0	116
0	107
0	50
0	196
0	200
0	167
0	207
0	139
0	60
0	273
0	286
1	2
1	93
1	196
1	29
1	166
1	269
1	62
1	4
1	228
1	207
1	217
1	60
2	3
2	161
2	4
2	6
2	169
2	8
2	9
2	10
2	12
2	110
2	14
2	207
2	43
2	16
2	17
2	19
2	21
2	24
2	25
2	26
2	27
2	28
2	29
2	30
2	31
2	32
2	5
2	34
2	35
2	36
2	37
2	38
2	39
2	170
2	40
2	41
2	44
2	45
2	47
2	48
2	49
2	50
2	51
2	53
2	54
2	61
2	55
2	7
2	119
2	92
2	57
2	58
2	59
2	60
2	62
2	63
2	64
2	65
2	11
2	283
2	66
2	67
2	68
2	70
2	228
2	72
2	73
2	74
2	76
2	77
2	79
2	80
2	178
2	167
2	84
2	85
2	87
2	88
2	89
2	90
2	91
2	93
2	15
2	69
2	95
2	97
2	98
2	99
2	100
2	102
2	216
2	104
2	18
2	106
2	107
2	125
2	108
2	128
2	109
2	111
2	20
2	112
2	130
2	114
2	115
2	116
2	117
2	118
2	120
2	121
2	122
2	75
2	124
2	126
2	127
2	129
2	131
2	132
2	133
2	78
2	134
2	135
2	81
2	270
2	138
2	82
2	139
2	218
2	141
2	13
2	142
2	143
2	144
2	145
2	146
2	147
2	148
2	150
2	151
2	153
2	71
2	136
2	154
2	137
2	156
2	157
2	159
2	160
2	162
2	163
2	222
2	164
2	165
2	266
2	166
2	184
2	267
2	224
2	168
2	83
2	171
2	172
2	173
2	22
2	175
2	176
2	179
2	180
2	181
2	182
2	215
2	183
2	185
2	186
2	188
2	140
2	189
2	190
2	192
2	194
2	273
2	191
2	113
2	258
2	197
2	198
2	199
2	201
2	202
2	203
2	204
2	205
2	206
2	208
2	209
2	210
2	211
2	246
2	212
2	149
2	96
2	213
2	214
2	152
2	158
2	193
2	86
2	217
2	219
2	220
2	52
2	221
2	247
2	46
2	223
2	225
2	226
2	227
2	229
2	94
2	101
2	230
2	231
2	232
2	233
2	234
2	235
2	236
2	237
2	238
2	239
2	240
2	241
2	103
2	242
2	243
2	244
2	105
2	187
2	42
2	33
2	248
2	249
2	250
2	251
2	252
2	253
2	254
2	255
2	174
2	256
2	257
2	259
2	195
2	260
2	155
2	261
2	262
2	263
2	264
2	265
2	268
2	123
2	269
2	271
2	272
2	56
2	274
2	275
2	245
2	200
2	276
2	196
2	177
2	277
2	278
2	279
2	280
2	281
2	282
2	285
2	284
2	23
2	286
3	203
3	121
3	106
4	8
4	11
4	15
4	17
4	20
4	33
4	38
4	42
4	45
4	52
4	53
4	56
4	57
4	63
4	65
4	70
4	123
4	77
4	90
4	92
4	100
4	102
4	105
4	109
4	110
4	113
4	114
4	115
4	124
4	126
4	127
4	130
4	135
4	139
4	190
4	144
4	155
4	161
4	163
4	174
4	170
4	175
4	184
4	227
4	188
4	200
4	81
4	208
4	209
4	214
4	220
4	133
4	222
4	150
4	233
4	237
4	245
4	244
4	50
4	260
4	93
4	273
4	281
4	7
4	12
4	14
4	29
4	30
4	60
4	37
4	225
4	44
4	47
4	48
4	62
4	61
4	21
4	68
4	78
4	187
4	88
4	89
4	94
4	67
4	69
4	169
4	104
4	107
4	173
4	112
4	116
4	119
4	270
4	128
4	132
4	141
4	146
4	147
4	158
4	160
4	166
4	267
4	167
4	269
4	177
4	186
4	82
4	192
4	189
4	202
4	207
4	210
4	215
4	217
4	223
4	71
4	228
4	87
4	238
4	239
4	240
4	248
4	254
4	255
4	256
4	257
4	196
4	262
4	284
4	101
4	199
4	276
4	280
4	283
6	273
6	27
6	213
6	217
6	234
6	110
6	16
8	63
8	87
8	65
8	196
8	29
8	166
8	207
8	33
8	217
8	267
8	269
11	27
12	87
12	29
12	38
12	62
12	207
12	60
12	196
12	31
12	217
13	273
14	210
14	286
14	92
14	127
14	139
14	167
14	177
14	178
14	192
14	233
14	259
14	266
14	270
14	273
14	276
14	244
15	163
15	167
15	207
15	107
15	286
15	217
15	123
17	273
17	109
18	29
20	225
20	240
20	90
20	93
20	230
20	166
20	132
20	177
20	107
20	50
20	29
20	31
20	38
20	217
20	196
20	128
20	54
20	62
20	56
20	200
20	92
20	207
20	139
20	60
20	163
20	222
20	155
20	286
20	167
21	225
21	107
21	129
22	126
22	106
24	273
25	101
26	77
26	157
27	223
27	101
27	32
27	273
27	280
27	281
27	159
29	126
29	166
29	210
29	180
29	31
29	38
29	192
29	44
29	52
29	223
29	167
29	30
29	70
29	217
29	258
29	146
29	222
29	91
29	239
29	109
29	105
29	110
29	112
29	133
29	114
29	238
29	253
29	207
29	108
29	215
29	273
29	245
29	177
29	190
29	158
30	92
30	139
30	200
30	50
30	130
30	286
30	107
30	167
31	222
31	224
31	177
31	240
31	286
31	189
31	253
31	116
31	255
31	132
31	54
31	200
31	167
31	267
31	60
31	273
31	163
32	281
32	206
32	207
33	84
33	165
33	207
33	36
33	191
33	44
33	53
33	199
33	63
33	66
33	217
33	75
33	78
33	81
33	94
33	67
33	273
33	235
33	98
33	100
33	105
33	110
33	115
33	252
33	124
33	126
33	269
33	242
33	190
33	146
33	196
33	279
33	285
33	284
33	208
34	207
36	273
36	63
36	235
36	110
36	166
36	217
36	252
36	81
36	284
36	103
37	196
37	56
37	60
37	211
37	228
38	161
38	225
38	90
38	167
38	240
38	254
38	132
38	200
38	222
38	286
38	160
40	210
41	108
41	156
42	240
42	107
42	115
42	273
42	62
43	268
43	98
43	151
43	249
43	250
43	122
43	203
43	271
43	156
44	225
44	93
44	167
44	269
44	107
44	217
44	127
44	196
44	56
44	207
44	60
44	62
44	163
44	259
44	284
44	286
45	273
45	233
48	50
48	87
48	109
48	119
48	139
48	140
48	158
48	157
48	167
48	189
48	192
48	200
48	206
48	217
48	222
48	233
48	240
48	52
48	266
48	267
48	273
50	52
50	54
50	128
50	90
50	92
50	119
50	107
50	109
50	167
50	132
50	130
50	139
50	140
50	150
50	158
50	157
50	160
50	180
50	192
50	224
50	200
50	205
50	210
50	225
50	233
50	240
50	244
50	177
50	283
50	245
50	286
52	87
52	132
52	225
52	167
52	237
52	240
52	200
52	286
53	84
53	166
53	235
53	207
53	81
53	242
53	110
53	115
53	126
53	273
53	285
53	204
53	208
53	63
53	279
53	217
53	187
53	284
54	225
54	129
54	128
54	92
54	200
54	110
54	167
54	177
54	237
54	107
54	180
54	132
54	139
54	286
55	278
55	59
56	227
56	93
56	196
56	207
56	209
56	105
56	60
56	62
56	146
56	69
56	114
56	253
56	217
57	115
57	207
57	63
57	75
57	187
57	208
58	130
58	167
58	132
58	91
58	209
59	278
